Symbol,Company Name,Market Cap,Stock Price,Revenue
AIOT,"PowerFleet, Inc.",519.36M,4.89,133.74M
UFCS,"United Fire Group, Inc.",518.63M,20.47,1.16B
CCRN,"Cross Country Healthcare, Inc.",518.62M,15.34,1.58B
IIIV,"i3 Verticals, Inc.",518.60M,21.83,371.16M
QTRX,Quanterix Corporation,518.12M,13.50,129.33M
ALEC,"Alector, Inc.",516.77M,5.31,55.28M
CCNE,CNB Financial Corporation,516.45M,24.82,214.48M
CTNM,"Contineum Therapeutics, Inc.",516.01M,20.06,-
ATLC,Atlanticus Holdings Corporation,515.62M,34.97,362.25M
PRME,"Prime Medicine, Inc.",514.05M,4.42,591.00K
SAGE,"Sage Therapeutics, Inc.",513.43M,8.41,97.24M
SHCR,"Sharecare, Inc.",511.88M,1.38,403.73M
EOSE,"Eos Energy Enterprises, Inc.",511.43M,2.36,14.79M
AROW,Arrow Financial Corporation,511.18M,30.55,133.55M
SOHU,Sohu.com Limited,509.88M,15.76,598.51M
ABSI,Absci Corporation,509.87M,4.49,3.25M
PAL,"Proficient Auto Logistics, Inc.",507.53M,19.55,-
VREX,Varex Imaging Corporation,507.08M,12.41,832.70M
CTLP,"Cantaloupe, Inc.",506.03M,6.95,260.11M
OABI,"OmniAb, Inc.",505.74M,4.28,21.71M
DAVE,Dave Inc.,501.63M,39.44,292.68M
LRMR,"Larimar Therapeutics, Inc.",501.52M,7.86,-
HPH,Highest Performances Holdings Inc.,501.48M,2.03,11.51M
DGICA,Donegal Group Inc.,501.25M,14.97,961.31M
OCS,Oculis Holding AG,497.96M,11.93,971.12K
RSVR,"Reservoir Media, Inc.",497.85M,7.65,147.34M
MPB,"Mid Penn Bancorp, Inc.",497.39M,29.79,169.32M
AILE,"iLearningEngines, Inc.",495.52M,3.51,485.83M
MRNO,Murano Global Investments Plc,495.27M,6.25,21.14M
LAZR,"Luminar Technologies, Inc.",493.76M,1.00,76.49M
PGC,Peapack-Gladstone Financial Corporation,493.46M,28.13,204.35M
GLAD,Gladstone Capital Corporation,493.39M,22.68,96.66M
ALT,"Altimmune, Inc.",493.23M,6.94,409.00K
MSBI,"Midland States Bancorp, Inc.",493.11M,23.05,255.63M
EYPT,"EyePoint Pharmaceuticals, Inc.",491.83M,9.19,50.39M
CMPS,COMPASS Pathways plc,491.71M,7.19,-
MNMD,Mind Medicine (MindMed) Inc.,490.21M,6.02,-
ZIMV,ZimVie Inc.,489.40M,17.75,453.38M
GLRE,"Greenlight Capital Re, Ltd.",489.20M,13.85,688.99M
DGICB,Donegal Group Inc.,488.98M,12.77,961.31M
NNDM,Nano Dimension Ltd.,488.90M,2.23,54.96M
LAND,Gladstone Land Corporation,488.48M,13.63,89.37M
SHYF,"The Shyft Group, Inc.",488.34M,14.17,794.33M
LE,"Lands' End, Inc.",485.54M,15.46,1.45B
GDEV,GDEV Inc.,485.25M,2.68,452.21M
GCMG,GCM Grosvenor Inc.,484.52M,10.87,461.33M
TROO,"TROOPS, Inc.",481.57M,4.74,3.57M
ACTG,Acacia Research Corporation,480.80M,4.79,152.55M
ZJYL,Jin Medical International Ltd.,480.60M,3.07,20.13M
BRY,Berry Corporation,479.33M,6.23,844.47M
BCAL,California BanCorp.,479.16M,14.92,87.33M
ESQ,"Esquire Financial Holdings, Inc.",479.04M,61.26,112.34M
GRAL,"GRAIL, Inc.",478.47M,15.41,109.74M
OFLX,"Omega Flex, Inc.",478.27M,47.38,105.48M
SLRN,"Acelyrin, Inc.",478.08M,4.79,-
QTTB,Q32 Bio Inc.,476.24M,39.49,-12.80M
SFIX,"Stitch Fix, Inc.",475.91M,3.89,1.43B
LILM,Lilium N.V.,475.80M,0.77,-
BAND,Bandwidth Inc.,473.08M,17.33,662.03M
GAIN,Gladstone Investment Corporation,471.82M,12.86,89.18M
PFIS,Peoples Financial Services Corp.,470.56M,47.17,90.82M
SHBI,"Shore Bancshares, Inc.",470.43M,14.12,167.59M
FFWM,First Foundation Inc.,468.86M,6.91,230.71M
MOFG,"MidWestOne Financial Group, Inc.",465.63M,29.52,173.96M
VLGEA,"Village Super Market, Inc.",464.95M,31.44,2.21B
ZEUS,"Olympic Steel, Inc.",463.34M,41.62,2.07B
SKYT,"SkyWater Technology, Inc.",462.92M,9.75,323.74M
CCCC,"C4 Therapeutics, Inc.",460.40M,6.64,29.38M
AMCX,AMC Networks Inc.,459.94M,10.43,2.54B
MXCT,"MaxCyte, Inc.",458.49M,4.35,45.44M
NIPG,NIP Group Inc.,455.53M,8.10,83.67M
BWMN,Bowman Consulting Group Ltd.,454.22M,24.95,386.81M
NGNE,Neurogene Inc.,454.00M,34.94,925.00K
NWPX,Northwest Pipe Company,453.88M,45.76,471.61M
KE,"Kimball Electronics, Inc.",453.61M,18.24,1.71B
NTGR,"NETGEAR, Inc.",452.55M,15.78,695.01M
HNST,"The Honest Company, Inc.",452.37M,4.52,355.70M
BIGC,"BigCommerce Holdings, Inc.",451.75M,5.81,324.38M
OPT,Opthea Limited,451.35M,2.87,390.44K
TSHA,"Taysha Gene Therapies, Inc.",450.88M,2.20,12.87M
EVGO,"EVgo, Inc.",449.74M,4.21,206.88M
LSEA,Landsea Homes Corporation,446.19M,12.30,1.40B
ANSC,Agriculture & Natural Solutions Acquisition Corporation,445.91M,10.34,-
GRVY,"Gravity Co., Ltd.",445.77M,64.15,399.94M
ALRS,Alerus Financial Corporation,444.60M,22.48,164.06M
FHTX,Foghorn Therapeutics Inc.,443.18M,8.01,35.19M
DHIL,"Diamond Hill Investment Group, Inc.",442.80M,160.96,142.33M
ADTN,"ADTRAN Holdings, Inc.",441.42M,5.59,949.97M
HCAT,"Health Catalyst, Inc.",439.62M,7.27,299.48M
BYND,"Beyond Meat, Inc.",438.36M,6.74,317.78M
CYRX,"Cryoport, Inc.",437.79M,8.86,225.61M
FATE,"Fate Therapeutics, Inc.",437.29M,3.84,12.32M
GTI,Graphjet Technology,435.82M,2.97,-
MITK,"Mitek Systems, Inc.",435.70M,9.43,166.52M
LYTS,LSI Industries Inc.,432.63M,15.39,469.64M
CERS,Cerus Corporation,431.74M,2.33,169.98M
AEHR,"Aehr Test Systems, Inc.",431.28M,14.59,66.22M
SVCO,"Silvaco Group, Inc.",430.17M,16.36,58.28M
KRNY,Kearny Financial Corp.,429.46M,6.88,134.38M
CVGW,"Calavo Growers, Inc.",429.16M,24.11,992.90M
XERS,"Xeris Biopharma Holdings, Inc.",429.12M,2.88,181.41M
CWCO,Consolidated Water Co. Ltd.,426.90M,26.96,175.27M
ALTI,"AlTi Global, Inc.",426.17M,4.64,241.81M
PACB,"Pacific Biosciences of California, Inc.",425.15M,1.56,188.87M
ISPR,Ispire Technology Inc.,424.81M,7.50,147.19M
BSRR,Sierra Bancorp,424.42M,29.90,142.35M
FFIC,Flushing Financial Corporation,422.37M,14.53,190.70M
HIVE,HIVE Digital Technologies Ltd.,421.90M,3.63,123.14M
RDUS,"Radius Recycling, Inc.",421.71M,15.04,2.69B
CCSI,"Consensus Cloud Solutions, Inc.",421.26M,21.83,353.96M
SENEB,Seneca Foods Corporation,420.61M,57.51,1.46B
RMR,The RMR Group Inc.,420.46M,25.14,191.26M
SENEA,Seneca Foods Corporation,419.37M,60.50,1.46B
KRRO,"Korro Bio, Inc.",419.28M,45.09,-
MERC,Mercer International Inc.,419.15M,6.27,1.99B
VERV,"Verve Therapeutics, Inc.",418.05M,4.94,20.65M
PERI,Perion Network Ltd.,417.40M,8.62,686.05M
RICK,"RCI Hospitality Holdings, Inc.",416.90M,46.34,297.62M
ITIC,Investors Title Company,416.71M,221.20,233.77M
SDST,Stardust Power Inc.,414.09M,8.86,-
CRMT,"America's Car-Mart, Inc.",413.90M,62.51,1.39B
RWAY,Runway Growth Finance Corp.,412.84M,10.71,157.21M
NNOX,Nano-X Imaging Ltd.,411.82M,7.04,10.13M
STRO,"Sutro Biopharma, Inc.",410.64M,5.01,169.36M
LMNR,Limoneira Company,409.39M,22.73,178.27M
RBB,RBB Bancorp,409.15M,22.98,117.60M
APPS,"Digital Turbine, Inc.",409.05M,3.98,516.11M
PTSI,"P.A.M. Transportation Services, Inc.",408.00M,18.74,747.21M
LOCO,"El Pollo Loco Holdings, Inc.",407.62M,13.62,470.98M
CLMB,"Climb Global Solutions, Inc.",406.73M,91.12,369.74M
AQST,"Aquestive Therapeutics, Inc.",406.13M,4.46,58.36M
NVEC,NVE Corporation,406.03M,84.00,27.76M
NETD,Nabors Energy Transition Corp. II,405.27M,10.63,-
TRML,"Tourmaline Bio, Inc.",404.88M,15.79,-
IPX,IperionX Limited,403.97M,15.82,-
WALD,Waldencast plc,403.42M,3.29,218.14M
ELYM,"Eliem Therapeutics, Inc.",402.36M,6.00,-
VALU,"Value Line, Inc.",402.15M,42.70,37.49M
FISI,"Financial Institutions, Inc.",401.35M,25.94,220.79M
SERV,Serve Robotics Inc.,400.22M,10.19,1.52M
LYEL,"Lyell Immunopharma, Inc.",399.36M,1.56,54.00K
TMCI,"Treace Medical Concepts, Inc.",399.26M,6.42,198.53M
HRZN,Horizon Technology Finance Corporation,399.18M,11.07,109.13M
LXEO,"Lexeo Therapeutics, Inc.",398.39M,12.05,-
ATNI,"ATN International, Inc.",397.74M,26.82,760.08M
LINC,Lincoln Educational Services Corporation,397.53M,12.63,408.42M
AAOI,"Applied Optoelectronics, Inc.",397.10M,9.71,206.94M
CARE,"Carter Bankshares, Inc.",396.85M,17.20,125.73M
TBPH,"Theravance Biopharma, Inc.",395.78M,8.09,62.02M
PRTH,"Priority Technology Holdings, Inc.",394.15M,5.13,813.88M
RDVT,"Red Violet, Inc.",394.09M,28.70,67.47M
PKOH,Park-Ohio Holdings Corp.,393.78M,30.50,1.66B
USAP,"Universal Stainless & Alloy Products, Inc.",389.75M,42.19,311.46M
FRBA,First Bank,388.74M,15.46,114.39M
GLUE,"Monte Rosa Therapeutics, Inc.",388.46M,6.33,5.76M
ORGO,Organogenesis Holdings Inc.,388.44M,2.93,448.39M
CWBC,Community West Bancshares,384.49M,20.30,85.23M
AIRJ,Montana Technologies Corporation,383.74M,6.34,-
TWFG,"TWFG, Inc.",383.04M,25.86,179.39M
DCGO,DocGo Inc.,380.62M,3.72,742.84M
MODV,ModivCare Inc.,380.07M,26.69,2.77B
NKLA,Nikola Corporation,379.73M,7.51,48.62M
HDSN,"Hudson Technologies, Inc.",379.20M,8.33,261.88M
ANIK,"Anika Therapeutics, Inc.",378.65M,25.59,166.88M
ZVRA,"Zevra Therapeutics, Inc.",377.80M,7.18,23.69M
GTHX,"G1 Therapeutics, Inc.",376.58M,7.12,58.20M
AURA,"Aura Biosciences, Inc.",376.51M,7.59,-
JOUT,Johnson Outdoors Inc.,376.35M,36.92,583.32M
BWB,"Bridgewater Bancshares, Inc.",376.06M,13.75,106.31M
NKTX,"Nkarta, Inc.",375.37M,5.32,-
OCGN,"Ocugen, Inc.",374.22M,1.30,7.26M
LOVE,The Lovesac Company,373.68M,24.03,691.72M
NRIM,"Northrim BanCorp, Inc.",373.14M,67.82,136.39M
FBIZ,"First Business Financial Services, Inc.",372.18M,44.87,139.46M
EBTC,"Enterprise Bancorp, Inc.",372.05M,30.42,162.52M
RRBI,"Red River Bancshares, Inc.",371.79M,53.99,104.93M
VYGR,"Voyager Therapeutics, Inc.",370.83M,6.80,143.77M
SLDB,Solid Biosciences Inc.,368.97M,9.56,-
GAMB,Gambling.com Group Limited,368.89M,10.16,115.74M
AMSWA,"American Software, Inc.",368.08M,11.06,102.81M
FMAO,"Farmers & Merchants Bancorp, Inc.",367.98M,27.20,95.41M
BSVN,Bank7 Corp.,367.35M,39.34,78.57M
CCIX,Churchill Capital Corp IX,367.17M,10.02,-
BDTX,"Black Diamond Therapeutics, Inc.",365.02M,6.46,-
ACNB,ACNB Corporation,361.74M,42.33,106.71M
ARTNA,Artesian Resources Corporation,360.96M,35.06,103.08M
ONEW,OneWater Marine Inc.,360.41M,24.64,1.85B
GPAT,GP-Act III Acquisition Corp.,359.91M,10.02,-
ALF,Centurion Acquisition Corp.,359.02M,9.99,-
GGR,Gogoro Inc.,358.85M,1.29,333.94M
ACB,Aurora Cannabis Inc.,356.62M,6.51,203.84M
HBCP,"Home Bancorp, Inc.",355.05M,44.00,129.84M
ACCD,"Accolade, Inc.",353.64M,4.42,431.53M
IMMP,Immutep Limited,353.02M,2.43,2.68M
ALNT,Allient Inc.,351.87M,20.89,569.06M
FORR,"Forrester Research, Inc.",351.09M,18.42,453.42M
BBCP,"Concrete Pumping Holdings, Inc.",350.15M,6.47,445.65M
CBNK,"Capital Bancorp, Inc.",349.21M,25.10,157.49M
KYTX,"Kyverna Therapeutics, Inc.",349.06M,8.09,-
LWLG,"Lightwave Logic, Inc.",348.87M,2.89,90.27K
AVNW,"Aviat Networks, Inc.",348.31M,27.72,385.39M
ESPR,"Esperion Therapeutics, Inc.",347.32M,1.77,277.79M
CMPO,"CompoSecure, Inc.",347.11M,11.57,409.36M
MCFT,"MasterCraft Boat Holdings, Inc.",346.07M,20.38,465.97M
WTBA,"West Bancorporation, Inc.",344.06M,20.44,76.33M
FSBW,"FS Bancorp, Inc.",344.00M,44.97,138.83M
TMC,TMC the metals company Inc.,343.43M,1.06,-
ICG,Intchains Group Limited,342.48M,5.71,26.09M
LNZA,"LanzaTech Global, Inc.",342.13M,1.73,67.69M
CDRO,"Codere Online Luxembourg, S.A.",342.00M,7.55,151.88M
RGP,"Resources Connection, Inc.",341.98M,10.19,632.80M
SGHT,"Sight Sciences, Inc.",340.08M,6.76,79.40M
FARO,"FARO Technologies, Inc.",339.63M,17.42,351.98M
TCBX,"Third Coast Bancshares, Inc.",339.44M,24.84,151.61M
INZY,"Inozyme Pharma, Inc.",338.77M,5.40,-
PSNL,"Personalis, Inc.",338.48M,5.97,80.03M
UNTY,"Unity Bancorp, Inc.",338.41M,33.91,99.26M
OBT,"Orange County Bancorp, Inc.",336.37M,59.39,102.96M
PGEN,"Precigen, Inc.",334.15M,1.16,4.39M
IPXX,Inflection Point Acquisition Corp. II,333.75M,10.68,-
ILPT,Industrial Logistics Properties Trust,333.21M,5.05,441.89M
NEWT,"NewtekOne, Inc.",332.86M,12.82,301.04M
JFIN,Jiayin Group Inc.,331.45M,6.25,806.05M
BMRC,Bank of Marin Bancorp,331.29M,20.49,58.62M
OSUR,"OraSure Technologies, Inc.",331.08M,4.44,273.54M
ALDX,"Aldeyra Therapeutics, Inc.",330.98M,5.57,-
XOMA,XOMA Royalty Corporation,330.65M,28.25,15.24M
AUDC,AudioCodes Ltd.,329.97M,10.92,245.53M
LUNR,"Intuitive Machines, Inc.",329.72M,5.24,157.77M
AVIR,"Atea Pharmaceuticals, Inc.",329.25M,3.90,-
CLPT,"ClearPoint Neuro, Inc.",327.84M,11.88,28.07M
AIP,"Arteris, Inc.",327.40M,8.34,53.30M
WEYS,"Weyco Group, Inc.",326.98M,34.70,300.23M
NEGG,"Newegg Commerce, Inc.",326.91M,0.86,1.50B
NAUT,"Nautilus Biotechnology, Inc.",326.07M,2.60,-
MTLS,Materialise NV,324.87M,5.50,276.29M
HEAR,Turtle Beach Corporation,324.39M,15.63,291.02M
ESEA,Euroseas Ltd.,324.34M,46.24,205.17M
MGTX,MeiraGTx Holdings plc,322.75M,4.17,8.12M
VBNK,VersaBank,322.64M,12.42,82.59M
AKBA,"Akebia Therapeutics, Inc.",321.74M,1.53,174.50M
KMDA,Kamada Ltd.,321.62M,5.72,154.57M
DENN,Denny's Corporation,321.09M,6.25,455.44M
SNBR,Sleep Number Corporation,320.79M,14.35,1.78B
NATH,"Nathan's Famous, Inc.",320.76M,78.53,141.39M
TITN,Titan Machinery Inc.,319.47M,14.21,2.82B
NODK,"NI Holdings, Inc.",319.02M,15.45,380.70M
VNDA,Vanda Pharmaceuticals Inc.,318.26M,5.46,182.02M
EDIT,"Editas Medicine, Inc.",318.26M,3.87,67.03M
UXIN,Uxin Limited,317.63M,1.69,190.39M
MAMA,"Mama's Creations, Inc.",316.36M,8.49,110.00M
CRMD,CorMedix Inc.,315.61M,5.65,806.12K
PEPG,PepGen Inc.,315.14M,9.67,-
INBK,First Internet Bancorp,313.78M,36.20,101.42M
PANL,"Pangaea Logistics Solutions, Ltd.",312.84M,6.67,503.74M
MBAV,M3-Brigade Acquisition V Corp.,312.81M,10.01,-
TCMD,"Tactile Systems Technology, Inc.",312.77M,13.05,281.54M
REFI,"Chicago Atlantic Real Estate Finance, Inc.",312.23M,15.91,55.19M
GMGI,"Golden Matrix Group, Inc.",311.77M,2.58,45.24M
PMTS,CPI Card Group Inc.,311.68M,28.14,439.49M
DADA,Dada Nexus Limited,310.83M,1.18,1.40B
ADAP,Adaptimmune Therapeutics plc,309.45M,1.21,141.46M
ANGO,"AngioDynamics, Inc.",309.32M,7.68,303.91M
CZNC,Citizens & Northern Corporation,309.08M,20.08,103.19M
DOMO,"Domo, Inc.",308.83M,8.09,319.63M
FNLC,"The First Bancorp, Inc.",307.69M,27.61,77.08M
VACH,Voyager Acquisition Corp.,307.54M,9.99,-
NNE,NANO Nuclear Energy Inc.,307.30M,10.20,-
IMMR,Immersion Corporation,306.38M,9.52,163.13M
CUB,Lionheart Holdings,306.36M,9.99,-
ACIU,AC Immune SA,304.74M,3.08,17.24M
SPOK,"Spok Holdings, Inc.",304.57M,15.03,138.27M
SMTI,Sanara MedTech Inc.,304.31M,34.79,72.41M
ALIM,"Alimera Sciences, Inc.",304.01M,5.59,99.68M
UHG,"United Homes Group, Inc.",303.34M,6.27,414.81M
ITI,"Iteris, Inc.",303.02M,7.08,174.22M
SBT,"Sterling Bancorp, Inc. (Southfield, MI)",301.93M,5.77,69.97M
FRST,Primis Financial Corp.,301.86M,12.23,135.60M
AFRI,Forafric Global PLC,301.58M,11.22,305.48M
QURE,uniQure N.V.,301.44M,6.19,27.71M
PROK,ProKidney Corp.,301.26M,2.39,-
EWCZ,"European Wax Center, Inc.",300.92M,6.30,223.79M
TCRX,"TScan Therapeutics, Inc.",300.36M,5.67,12.20M
TALK,"Talkspace, Inc.",297.74M,1.77,172.54M
INGN,"Inogen, Inc.",296.72M,12.51,326.65M
HMST,"HomeStreet, Inc.",296.44M,15.72,180.52M
GWRS,"Global Water Resources, Inc.",296.18M,12.23,52.02M
SIMA,SIM Acquisition Corp. I,296.07M,8.00,-
CABA,"Cabaletta Bio, Inc.",296.02M,6.06,-
HRTX,"Heron Therapeutics, Inc.",295.75M,1.95,136.36M
VIRC,Virco Mfg. Corporation,295.63M,18.24,280.91M
PRLD,Prelude Therapeutics Incorporated,295.48M,5.37,-
IBEX,IBEX Limited,295.40M,17.16,508.47M
REAL,"The RealReal, Inc.",295.12M,2.72,565.28M
LSAK,"Lesaka Technologies, Inc.",295.08M,4.88,551.33M
LUNG,Pulmonx Corporation,294.04M,7.51,76.58M
RNAC,"Cartesian Therapeutics, Inc.",294.01M,13.75,54.10M
QRTEB,"Qurate Retail, Inc.",292.56M,4.10,10.37B
JSPR,"Jasper Therapeutics, Inc.",291.38M,19.29,-
ACRV,"Acrivon Therapeutics, Inc.",289.90M,9.36,-
LX,LexinFintech Holdings Ltd.,289.37M,1.76,1.84B
FLIC,The First of Long Island Corporation,289.08M,12.83,86.96M
VMD,"Viemed Healthcare, Inc.",286.92M,7.39,205.70M
FDBC,"Fidelity D & D Bancorp, Inc.",286.79M,50.00,70.43M
BETR,Better Home & Finance Holding Company,286.69M,18.95,61.70M
NWTN,NWTN Inc.,286.19M,1.00,583.00K
USCB,"USCB Financial Holdings, Inc.",285.87M,14.57,66.71M
CAN,Canaan Inc.,285.29M,0.99,209.48M
LWAY,"Lifeway Foods, Inc.",284.87M,19.26,176.78M
ENGN,enGene Holdings Inc.,283.55M,6.42,-
MVBF,MVB Financial Corp.,283.25M,21.91,143.78M
SSBK,"Southern States Bancshares, Inc.",282.65M,31.70,80.76M
BLZE,"Backblaze, Inc.",282.62M,6.59,115.29M
JRVR,"James River Group Holdings, Ltd.",282.18M,7.46,815.64M
PBFS,"Pioneer Bancorp, Inc.",281.78M,11.17,74.14M
UROY,Uranium Royalty Corp.,280.61M,2.32,31.07M
NYXH,Nyxoah S.A.,280.09M,8.23,5.13M
PFMT,Performant Financial Corporation,279.43M,3.62,119.23M
LPAA,Launch One Acquisition Corp.,278.88M,9.96,-
AEYE,"AudioEye, Inc.",278.33M,23.43,32.26M
APEI,"American Public Education, Inc.",278.09M,15.71,610.97M
PSTX,"Poseida Therapeutics, Inc.",277.76M,2.86,88.46M
ENTA,"Enanta Pharmaceuticals, Inc.",277.36M,13.09,71.96M
WSBF,"Waterstone Financial, Inc.",276.98M,15.25,132.56M
DSGN,"Design Therapeutics, Inc.",276.87M,4.89,-
JMSB,"John Marshall Bancorp, Inc.",276.60M,19.50,35.69M
ASLE,AerSale Corporation,276.15M,5.19,354.55M
SLDP,"Solid Power, Inc.",275.60M,1.54,19.74M
BMEA,"Biomea Fusion, Inc.",275.56M,7.61,-
WHF,"WhiteHorse Finance, Inc.",275.20M,11.84,100.46M
PCB,PCB Bancorp,273.62M,19.23,93.74M
MTRX,Matrix Service Company,273.09M,10.00,744.57M
TTSH,"Tile Shop Holdings, Inc.",272.37M,6.10,359.68M
CRVS,"Corvus Pharmaceuticals, Inc.",268.97M,4.30,-
SCPH,scPharmaceuticals Inc.,268.65M,5.37,24.05M
NECB,"Northeast Community Bancorp, Inc.",268.24M,22.98,104.33M
TECX,"Tectonic Therapeutic, Inc.",268.17M,18.20,-
CDXC,ChromaDex Corporation,267.11M,3.51,85.58M
CIVB,"Civista Bancshares, Inc.",266.59M,16.94,147.54M
TKNO,"Alpha Teknova, Inc.",265.98M,4.99,34.94M
CRNT,Ceragon Networks Ltd.,264.48M,3.08,362.21M
CZFS,"Citizens Financial Services, Inc.",263.51M,55.36,98.19M
BDSX,"Biodesix, Inc.",262.77M,1.81,60.90M
COFS,"ChoiceOne Financial Services, Inc.",262.72M,29.33,83.14M
SFST,"Southern First Bancshares, Inc.",262.68M,32.21,89.00M
PAYS,"Paysign, Inc.",262.50M,4.94,53.61M
CBAN,"Colony Bankcorp, Inc.",262.09M,14.90,109.42M
QRTEA,"Qurate Retail, Inc.",261.85M,0.66,10.37B
SLAM,Slam Corp.,261.50M,11.15,-
GILT,Gilat Satellite Networks Ltd.,261.14M,4.58,292.25M
ZYXI,"Zynex, Inc.",259.97M,8.19,193.61M
AIRS,"AirSculpt Technologies, Inc.",258.59M,4.49,193.03M
AMRN,Amarin Corporation plc,258.46M,0.63,264.78M
TRUE,"TrueCar, Inc.",258.13M,2.84,165.28M
RITR,Reitar Logtech Holdings Limited,257.82M,4.15,14.35M
JAKK,"JAKKS Pacific, Inc.",257.58M,23.45,675.84M
OB,Outbrain Inc.,257.38M,5.23,909.36M
IHRT,"iHeartMedia, Inc.",256.63M,1.69,3.75B
BCML,BayCom Corp,256.29M,23.15,97.49M
ARQ,"Arq, Inc.",255.96M,7.01,105.08M
HNRG,Hallador Energy Company,255.59M,6.00,485.54M
HPAI,Helport AI Limited,255.06M,5.55,21.31M
NATR,"Nature's Sunshine Products, Inc.",252.26M,13.63,441.68M
BYRN,Byrna Technologies Inc.,252.14M,11.07,59.65M
DOGZ,Dogness (International) Corporation,251.69M,19.77,13.86M
PDLB,"Ponce Financial Group, Inc.",250.46M,11.16,81.74M
OBIO,"Orchestra BioMed Holdings, Inc.",250.40M,6.62,2.08M
EGHT,"8x8, Inc.",250.24M,1.95,723.57M
NBTX,Nanobiotix S.A.,249.92M,5.28,40.02M
SVII,Spring Valley Acquisition Corp. II,249.59M,11.19,-
TOYO,"TOYO Co., Ltd",249.07M,5.17,62.38M
NKTR,Nektar Therapeutics,248.51M,1.35,93.16M
PKBK,"Parke Bancorp, Inc.",248.29M,20.73,64.61M
SERA,"Sera Prognostics, Inc.",247.93M,7.43,107.00K
PCYO,Pure Cycle Corporation,247.74M,10.29,19.56M
SOPH,SOPHiA GENETICS SA,247.62M,3.74,64.94M
TSBK,"Timberland Bancorp, Inc.",247.50M,31.07,74.39M
RENE,Cartesian Growth Corporation II,246.26M,11.39,-
OMER,Omeros Corporation,245.69M,4.24,-
TSVT,"2seventy bio, Inc.",244.62M,4.75,44.12M
HLXB,Helix Acquisition Corp. II,244.49M,10.40,-
RCEL,"AVITA Medical, Inc.",244.43M,9.34,54.14M
TCX,Tucows Inc.,243.93M,22.22,350.81M
TLS,Telos Corporation,243.51M,3.37,135.36M
BLDE,"Blade Air Mobility, Inc.",243.15M,3.12,238.38M
LNKB,"LINKBANCORP, Inc.",242.12M,6.48,68.14M
PBPB,Potbelly Corporation,241.96M,8.08,477.37M
BPRN,"Princeton Bancorp, Inc.",240.81M,38.09,71.92M
IRBT,iRobot Corporation,240.79M,7.97,810.10M
INSE,"Inspired Entertainment, Inc.",238.91M,8.99,317.40M
ABEO,Abeona Therapeutics Inc.,238.88M,5.52,-
BOOM,DMC Global Inc.,238.46M,11.90,684.23M
UTMD,"Utah Medical Products, Inc.",238.43M,68.57,46.58M
RZLT,"Rezolute, Inc.",238.03M,4.30,-
RCAT,"Red Cat Holdings, Inc.",237.23M,3.18,17.84M
RCKY,"Rocky Brands, Inc.",236.28M,31.72,462.73M
LFMD,"LifeMD, Inc.",234.73M,5.45,178.28M
SGC,"Superior Group of Companies, Inc.",234.17M,13.96,553.95M
PLBC,Plumas Bancorp,232.95M,39.51,78.62M
ARTV,"Artiva Biotherapeutics, Inc.",232.82M,10.00,32.75M
ASUR,"Asure Software, Inc.",232.04M,8.77,115.29M
NPCE,"NeuroPace, Inc.",231.24M,7.92,71.82M
EPIX,ESSA Pharma Inc.,231.16M,5.21,-
PNRG,PrimeEnergy Resources Corporation,230.95M,131.84,178.71M
CLLS,Cellectis S.A.,230.80M,2.37,19.64M
PROC,Procaps Group S.A.,230.16M,2.04,414.10M
CDZI,Cadiz Inc.,229.49M,3.38,2.69M
FVCB,"FVCBankcorp, Inc.",229.33M,12.61,44.61M
BLFY,Blue Foundry Bancorp,229.02M,10.80,41.85M
ZNTL,"Zentalis Pharmaceuticals, Inc.",226.83M,3.19,40.56M
EGAN,eGain Corporation,226.38M,7.59,94.98M
ARAY,Accuray Incorporated,226.28M,2.28,446.55M
ORGN,"Origin Materials, Inc.",225.91M,1.55,34.06M
VSTA,Vasta Platform Limited,225.79M,2.82,282.28M
ZURA,Zura Bio Limited,225.65M,3.57,-
TNYA,"Tenaya Therapeutics, Inc.",224.83M,2.85,-
DCTH,"Delcath Systems, Inc.",224.28M,8.01,11.88M
GAUZ,Gauzy Ltd.,224.27M,12.01,89.75M
FCEL,"FuelCell Energy, Inc.",223.67M,0.45,87.08M
CHMG,Chemung Financial Corporation,223.53M,47.00,96.44M
SHIP,Seanergy Maritime Holdings Corp.,223.23M,10.83,145.31M
ALCO,"Alico, Inc.",222.99M,29.23,46.39M
MBCN,Middlefield Banc Corp.,221.79M,27.48,66.74M
PROF,Profound Medical Corp.,221.55M,9.03,7.88M
BWFG,"Bankwell Financial Group, Inc.",220.75M,28.95,81.49M
ATAI,Atai Life Sciences N.V.,219.82M,1.31,378.00K
RIGL,"Rigel Pharmaceuticals, Inc.",219.59M,12.48,130.20M
LCNB,LCNB Corp.,219.36M,15.50,70.78M
MGNX,"MacroGenics, Inc.",218.90M,3.49,41.02M
GNFT,Genfit S.A.,218.75M,4.35,38.12M
PYXS,"Pyxis Oncology, Inc.",218.68M,3.71,16.15M
STRS,Stratus Properties Inc.,217.85M,26.97,42.94M
TRVI,"Trevi Therapeutics, Inc.",217.05M,2.99,-
NWFL,Norwood Financial Corp.,216.91M,26.98,61.89M
SWKH,SWK Holdings Corporation,216.83M,17.54,25.77M
GASS,StealthGas Inc.,216.57M,5.98,147.03M
CDXS,"Codexis, Inc.",216.33M,3.05,60.89M
