Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Company Name,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,combined_news,sentiment,Sentiment_News1,Sentiment_News2,Sentiment_News3,Sentiment_News4,Sentiment_News5
258.10M,"762,054",-489.90M,-1,"5,400",481.24,Buy,495.82,"Aug 1, 2024",VRTX,Vertex Pharmaceuticals Incorporated,124.21B,481.24,10.34B,-0.02%,-0.25%,11.82%,-1.21%,+20.42%,"Lightning Round: Chipotle is likely done going down, says Jim Cramer",Cramer’s Lightning Round: Builders FirstSource ‘can go higher’,"Ride out future market volatility with all-weather stocks, Bank of America says",Evercore ISI Reaffirms Their Buy Rating on Vertex Pharmaceuticals (VRTX),Vertex Pharmaceuticals: A Cautious Hold Amidst Mixed Financial Signals and Pipeline Uncertainty,"Lightning Round: Chipotle is likely done going down, says Jim Cramer Cramer’s Lightning Round: Builders FirstSource ‘can go higher’ Ride out future market volatility with all-weather stocks, Bank of America says Evercore ISI Reaffirms Their Buy Rating on Vertex Pharmaceuticals (VRTX) Vertex Pharmaceuticals: A Cautious Hold Amidst Mixed Financial Signals and Pipeline Uncertainty",0,0,0,1,0,0
1.11B,"24,264,183",-1.54B,$0.46,"43,000",102.85,Strong Buy,157.42,"Sep 25, 2024",MU,"Micron Technology, Inc.",114.04B,102.85,21.37B,-1.96%,-16.75%,-5.68%,-13.62%,-23.24%,Wednesday’s stock stories: What’s likely to move the market in the next session,"Three-Stock Lunch: Boeing, Micron, Redfin","Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more","Dow closes 600 points lower to begin September, S&P 500 drops 2%",Morgan Stanley is bullish on 3 stocks from a corner of the semiconductor sector,"Wednesday’s stock stories: What’s likely to move the market in the next session Three-Stock Lunch: Boeing, Micron, Redfin Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more Dow closes 600 points lower to begin September, S&P 500 drops 2% Morgan Stanley is bullish on 3 stocks from a corner of the semiconductor sector",0,0,1,1,1,1
323.80M,"3,144,385",2.58B,-1,"13,948",350.75,Buy,371.26,"Aug 19, 2024",PANW,"Palo Alto Networks, Inc.",113.57B,350.75,8.03B,5.91%,6.03%,13.80%,+7.92%,+30.27%,"Palo Alto CEO on CrowdStrike fallout, IBM deal and cybersecurity issues",These stocks typically have the best and worst Septembers,Jim Cramer’s top 10 things to watch in the stock market Wednesday,Can tech stocks go up with rates coming down? Here’s why we think so,It’s been nearly a year since we took profits in Lilly. We’re due for another trim,"Palo Alto CEO on CrowdStrike fallout, IBM deal and cybersecurity issues These stocks typically have the best and worst Septembers Jim Cramer’s top 10 things to watch in the stock market Wednesday Can tech stocks go up with rates coming down? Here’s why we think so It’s been nearly a year since we took profits in Lilly. We’re due for another trim",0,0,0,0,0,0
496.49M,"2,528,087",1.66B,$3.68,"26,000",228.39,Buy,243.52,"Aug 21, 2024",ADI,"Analog Devices, Inc.",113.39B,228.39,9.70B,6.36%,2.51%,13.40%,-1.82%,+16.64%,These stocks have the most riding on Nvidia’s results with highest correlation,"Retail earnings lift other boats — plus, stocks take negative jobs update in stride","Stocks making the biggest moves midday: Target, JD.com, Macy’s and more","S&P 500, Nasdaq close higher as Fed minutes lift investors’ hopes for a September rate cut","Why we’ve raised cash into the rally — plus, earnings insights on 2 of our stocks","These stocks have the most riding on Nvidia’s results with highest correlation Retail earnings lift other boats — plus, stocks take negative jobs update in stride Stocks making the biggest moves midday: Target, JD.com, Macy’s and more S&P 500, Nasdaq close higher as Fed minutes lift investors’ hopes for a September rate cut Why we’ve raised cash into the rally — plus, earnings insights on 2 of our stocks",1,1,1,1,1,0
130.38M,"1,109,642",3.83B,$8.00,"17,200",847.37,Strong Buy,983.19,"Oct 16, 2024",LRCX,Lam Research Corporation,110.48B,847.37,14.91B,-1.41%,-13.60%,-7.39%,-12.61%,-16.88%,"Lightning Round: Buy Lam Research slowly, not all at once",Cramer’s Lightning Round: ‘I like’ GE Vernova,Trade Tracker: Stephanie Link trims Lam Research,Lam Research Appoints New Board Members with Diverse Expertise,Unusually active option classes on open August 30th,"Lightning Round: Buy Lam Research slowly, not all at once Cramer’s Lightning Round: ‘I like’ GE Vernova Trade Tracker: Stephanie Link trims Lam Research Lam Research Appoints New Board Members with Diverse Expertise Unusually active option classes on open August 30th",0,0,0,0,0,0
407.80M,"776,708",3.75B,$5.60,"64,000",269.60,Hold,262.82,"Jul 31, 2024",ADP,"Automatic Data Processing, Inc.",109.94B,269.60,19.20B,4.33%,9.37%,12.53%,+3.83%,+11.37%,Salesforce CEO explains how customers use new platform ‘Agentforce’,Jackson Hole technical trade: BTIG says these stocks are buys ahead of Powell speech,ADP price target raised to $285 from $250 at JPMorgan,,,Salesforce CEO explains how customers use new platform ‘Agentforce’ Jackson Hole technical trade: BTIG says these stocks are buys ahead of Powell speech ADP price target raised to $285 from $250 at JPMorgan,0,0,0,0,-1,-1
134.43M,"667,647",2.76B,$5.80,"15,230",817.84,Buy,805.55,"Jul 24, 2024",KLAC,KLA Corporation,109.94B,817.84,9.81B,4.70%,0.96%,18.04%,-2.28%,+17.78%,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more",Wednesday’s stock stories: What’s likely to move the market in the next session,"Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more","Dow closes 600 points lower to begin September, S&P 500 drops 2%",KLA Corp. raises quarterly dividend 17% to $1.70 from $1.45 per share,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more Wednesday’s stock stories: What’s likely to move the market in the next session Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more Dow closes 600 points lower to begin September, S&P 500 drops 2% KLA Corp. raises quarterly dividend 17% to $1.70 from $1.45 per share",0,1,0,1,1,0
1.13B,"10,812,035",4.07B,$2.28,"381,000",94.02,Buy,99.18,"Jul 30, 2024",SBUX,Starbucks Corporation,106.54B,94.02,36.48B,16.21%,23.43%,12.10%,+22.26%,+9.73%,"88 corporate leaders endorse Harris, including CEOs of Yelp, Box","4 simple steps to ‘make yourself indispensable’ at work, says bestselling author",Best Buy is the stock of the summer — plus 2 more encouraging economic updates,These stocks outperformed in August. Here’s where they’re expected to go,Jim Cramer: Starbucks’ stock will shoot higher under incoming CEO Brian Niccol,"88 corporate leaders endorse Harris, including CEOs of Yelp, Box 4 simple steps to ‘make yourself indispensable’ at work, says bestselling author Best Buy is the stock of the summer — plus 2 more encouraging economic updates These stocks outperformed in August. Here’s where they’re expected to go Jim Cramer: Starbucks’ stock will shoot higher under incoming CEO Brian Niccol",1,1,1,0,1,0
50.70M,"181,637",1.40B,-1,"58,313","2,000.31",Strong Buy,"2,089.09","Aug 1, 2024",MELI,"MercadoLibre, Inc.",101.41B,"2,000.31",17.11B,8.30%,16.94%,24.94%,+19.55%,+32.86%,Cantor Fitzgerald Internet analyst to hold an analyst/industry conference call,"MercadoLibre initiated with an Overweight, called a ‘Top Pick’ at Cantor","MercadoLibre price target raised to $2,350 from $2,300 at Susquehanna","MercadoLibre price target raised to $2,250 from $2,100 at Jefferies",StockTok: Meta revises limits on ad data to assuage CMA scrutiny,"Cantor Fitzgerald Internet analyst to hold an analyst/industry conference call MercadoLibre initiated with an Overweight, called a ‘Top Pick’ at Cantor MercadoLibre price target raised to $2,350 from $2,300 at Susquehanna MercadoLibre price target raised to $2,250 from $2,100 at Jefferies StockTok: Meta revises limits on ad data to assuage CMA scrutiny",1,1,1,1,0,1
1.24B,"2,897,238",1.05B,$3.08,"18,000",76.72,Buy,81.81,"Aug 8, 2024",GILD,"Gilead Sciences, Inc.",95.52B,76.72,27.81B,2.48%,6.77%,5.30%,+3.29%,+12.91%,Gilead alleges it uncovered a drug-counterfeiting operation at 2 NYC pharmacies,Gilead Sciences: A Balanced Hold Rating Amidst Growth Potential and Market Challenges,Gilead price target raised to $74 from $72 at RBC Capital,Gilead Sciences (GILD) Gets a Hold from RBC Capital,Gilead put volume heavy and directionally bearish,Gilead alleges it uncovered a drug-counterfeiting operation at 2 NYC pharmacies Gilead Sciences: A Balanced Hold Rating Amidst Growth Potential and Market Challenges Gilead price target raised to $74 from $72 at RBC Capital Gilead Sciences (GILD) Gets a Hold from RBC Capital Gilead put volume heavy and directionally bearish,0,0,1,0,0,1
1.34B,"3,498,847",3.95B,$1.88,"91,000",71.23,Strong Buy,79.59,"Jul 30, 2024",MDLZ,"Mondelez International, Inc.",95.15B,71.23,35.98B,1.86%,5.19%,1.42%,+4.24%,+4.79%,"Likely policies under a Harris presidency and the stocks impacted, according to Jefferies",Cheap stocks to buy for the long term during the volatility,Turn to these dividend growers as the Fed cuts rates,"Jim Cramer prefers Mondelez over this food peer — plus, his take on 4 more stocks",Jim Cramer’s top 10 things to watch in the stock market Monday,"Likely policies under a Harris presidency and the stocks impacted, according to Jefferies Cheap stocks to buy for the long term during the volatility Turn to these dividend growers as the Fed cuts rates Jim Cramer prefers Mondelez over this food peer — plus, his take on 4 more stocks Jim Cramer’s top 10 things to watch in the stock market Monday",0,0,0,0,0,0
4.28B,"57,358,323",975.00M,$0.50,"124,800",20.54,Hold,32.96,"Aug 1, 2024",INTC,Intel Corporation,87.83B,20.54,55.12B,-8.05%,-28.46%,-46.23%,-36.21%,-49.34%,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more",Jim Cramer’s top 10 things to watch in the stock market Friday,Nvidia says it didn’t receive antitrust subpoena from DOJ,"Cramer says ‘don’t be a hero’ on Nvidia, downplays AI spending concerns and DOJ probe","This semiconductor ETF just had its worst week since 2020. Here’s what’s next Stocks making the biggest moves midday: Intel, Nio, Broadcom and more Jim Cramer’s top 10 things to watch in the stock market Friday Nvidia says it didn’t receive antitrust subpoena from DOJ Cramer says ‘don’t be a hero’ on Nvidia, downplays AI spending concerns and DOJ probe",0,0,1,0,0,0
153.61M,"916,354",1.50B,-1,"20,300",539.39,Strong Buy,641.00,"Aug 21, 2024",SNPS,"Synopsys, Inc.",82.86B,539.39,6.48B,-1.72%,-8.24%,-5.97%,-8.66%,-11.38%,Jim Cramer says these 2 stocks show investors are nervous about Nvidia’s earnings,Cramer’s Stop Trading: Synopsys,Cramer looks at reasons for the market decline and provides new views on 3 stocks,Synopsys CEO on Q3 earnings,"This little-known chip design stock benefits from AI, Bank of America says","Jim Cramer says these 2 stocks show investors are nervous about Nvidia’s earnings Cramer’s Stop Trading: Synopsys Cramer looks at reasons for the market decline and provides new views on 3 stocks Synopsys CEO on Q3 earnings This little-known chip design stock benefits from AI, Bank of America says",0,1,0,0,0,1
100.77M,"236,586",1.57B,$1.56,"46,500",788.50,Buy,740.62,"Sep 24, 2024",CTAS,Cintas Corporation,79.46B,788.50,9.60B,4.58%,8.06%,22.38%,+4.43%,+18.42%,"QQQ ETF Update, 9/6/2024 ","QQQ ETF Update, 9/4/2024 ","QQQ ETF Update, 8/29/2024 ","QQQ ETF Update, 8/27/2024 ","QQQ ETF Update, 8/23/2024 ","QQQ ETF Update, 9/6/2024  QQQ ETF Update, 9/4/2024  QQQ ETF Update, 8/29/2024  QQQ ETF Update, 8/27/2024  QQQ ETF Update, 8/23/2024 ",1,0,0,0,0,0
94.94M,"283,971",1.04B,$17.04,"13,151",827.96,Buy,863.36,"Aug 7, 2024",EQIX,"Equinix, Inc.",78.61B,827.96,8.02B,0.79%,3.68%,2.45%,+2.97%,+3.73%,Turn to these dividend growers as the Fed cuts rates,"Equinix CFO Taylor sells 1,500 common shares","Equinix price target lowered to $900 from $1,000 at Argus",Equinix (EQIX) Receives a Hold from Morgan Stanley,Scotiabank Reaffirms Their Buy Rating on Equinix (EQIX),"Turn to these dividend growers as the Fed cuts rates Equinix CFO Taylor sells 1,500 common shares Equinix price target lowered to $900 from $1,000 at Argus Equinix (EQIX) Receives a Hold from Morgan Stanley Scotiabank Reaffirms Their Buy Rating on Equinix (EQIX)",1,0,1,0,0,1
273.82M,"1,944,545",1.06B,-1,"11,200",273.90,Strong Buy,334.56,"Jul 22, 2024",CDNS,"Cadence Design Systems, Inc.",75.00B,273.90,4.16B,0.28%,-6.87%,-6.74%,-1.71%,-14.59%,Jim Cramer says these 2 stocks show investors are nervous about Nvidia’s earnings,"Novartis upgrade, Intel downgrade part of Erste global equity changes",Cadence Design downgraded to Hold from Buy at Erste Group,Cadence Design Strengthens Financial Strategy with New Credit Facility,"CDNS, DDOG, FSLR: Which Strong Buy-Rated Tech Stock’s a Better Buy?","Jim Cramer says these 2 stocks show investors are nervous about Nvidia’s earnings Novartis upgrade, Intel downgrade part of Erste global equity changes Cadence Design downgraded to Hold from Buy at Erste Group Cadence Design Strengthens Financial Strategy with New Credit Facility CDNS, DDOG, FSLR: Which Strong Buy-Rated Tech Stock’s a Better Buy?",1,1,1,1,1,0
360.10M,"1,636,056",3.26B,$4.60,"3,565",207.05,Hold,213.69,"Oct 23, 2024",CME,CME Group Inc.,74.56B,207.05,5.79B,3.85%,6.23%,2.61%,+11.05%,+1.91%,"Final Trades: CME Group, Chubb, Berkshire Hathaway and the IHI","S&P 500, Nasdaq snap eight-day winning streak as rebound rally pauses",Buy/Sell: Wall Street’s top 10 stock calls this week,"CME Group to launch options on BCOM futures on September 23, pending review",Analysts Have Conflicting Sentiments on These Financial Companies: Voya Financial (VOYA) and CME Group (CME),"Final Trades: CME Group, Chubb, Berkshire Hathaway and the IHI S&P 500, Nasdaq snap eight-day winning streak as rebound rally pauses Buy/Sell: Wall Street’s top 10 stock calls this week CME Group to launch options on BCOM futures on September 23, pending review Analysts Have Conflicting Sentiments on These Financial Companies: Voya Financial (VOYA) and CME Group (CME)",0,0,1,0,0,0
632.42M,"4,924,459",4.84B,-1,"6,907",116.85,Hold,133.16,"Aug 6, 2024",ABNB,"Airbnb, Inc.",73.90B,116.85,10.51B,-3.70%,-15.19%,-19.66%,-15.79%,-27.35%,"AI craze distorts VC market, as tech giants Microsoft and Amazon pour in billions",Take a look inside my oceanfront dream home in Puerto Rico: ‘Slice of paradise’,‘Travel is too expensive right now’: Americans spend less or skip trips altogether,Google IPO banker tracks two-decade journey from Silicon Valley upstart to $2 trillion,LVMH CEO Bernard Arnault’s family office goes shopping for AI startups,"AI craze distorts VC market, as tech giants Microsoft and Amazon pour in billions Take a look inside my oceanfront dream home in Puerto Rico: ‘Slice of paradise’ ‘Travel is too expensive right now’: Americans spend less or skip trips altogether Google IPO banker tracks two-decade journey from Silicon Valley upstart to $2 trillion LVMH CEO Bernard Arnault’s family office goes shopping for AI startups",1,0,0,0,0,0
1.02B,"8,791,198",4.44B,-1,"27,200",71.70,Buy,75.88,"Jul 30, 2024",PYPL,"PayPal Holdings, Inc.",73.30B,71.70,31.03B,7.60%,14.96%,15.56%,+7.07%,+8.10%,"Earn 5% cash back with PayPal’s debit card, even if you have bad credit","88 corporate leaders endorse Harris, including CEOs of Yelp, Box","Final Trades: Dell Technologies, CoStar Group, Johnson & Johnson and PayPal Holdings","The Committee’s Comeback Kids: Trade Desk, Sweetgreen, Natera, Samsara, PayPal and Leidos","Buy now, pay later firm Klarna swings to first-half profit ahead of IPO","Earn 5% cash back with PayPal’s debit card, even if you have bad credit 88 corporate leaders endorse Harris, including CEOs of Yelp, Box Final Trades: Dell Technologies, CoStar Group, Johnson & Johnson and PayPal Holdings The Committee’s Comeback Kids: Trade Desk, Sweetgreen, Natera, Samsara, PayPal and Leidos Buy now, pay later firm Klarna swings to first-half profit ahead of IPO",1,1,1,1,1,1
